No,Ulasan,Ulasan_Preprocessed,Sentiment_Asli,Sentiment(Linear),Sentiment(RBF)
6909,sya udah bayar pajak motor lewat aplikasi ini tapi udah hampir 3 bulan blm sampe ke rumah....gimana ini......kok malah di perribet ini malahan,bayar pajak motor aplikasi rumahgimana inikok perribet,positif,positif,positif
6910,"Alhamdulillah selama ini selalu taat pajak, moga ada rezeki tuk byrny. mksh SiGNAL dah mempermudah sy. baru jg kmren daftar. tau2 sudah ada pos yg datang. sampeee deh,,, 🙏👍😊",alhamdulillah taat pajak moga rezeki byrny signal mudah kemarin daftar tau pos sampeee deh,positif,positif,positif
6911,dipermudah lagi proses pembayarannya,mudah proses bayar,negatif,positif,positif
6912,mudah dan cepat 👍👍👍,mudah cepat,positif,positif,positif
6913,"kali ini urus stnk motor dan mobil cepat, terima kasih telah diperbaiki pelayanannya",kali urus stnk motor mobil cepat terima kasih baik layan,positif,positif,positif
6914,apknya bagus pengiriman nya juga cepat,apknya bagus kirim ya cepat,positif,positif,positif
6915,sangat membantu masyarakat terimah kasih aplikasi signal samsat polri,bantu masyarakat terimah kasih aplikasi signal samsat polri,positif,positif,positif
6916,"aplikasi error, tidak bisa login",aplikasi error login,positif,negatif,negatif
6917,"Sudah melakukan pembayaran, tapi stnk sampai saat ini belum dikirim juga. Saya lihat dikomen juga ada yg 3minggu belum dikirim, Kacau. Yaa beginilah kinerja samsat di Indonesia.",bayar stnk kirim lihat dikomen minggu kirim kacau ya kerja samsat indonesia,negatif,negatif,negatif
6918,simpel dan praktis cepat lagi,simpel praktis cepat,positif,positif,positif
6919,ok sipp.. membantu sekali,ok sip bantu,positif,positif,positif
6920,"saya kasih bintang 4 dlu jika bisa ganti plat kendaraan melalui apk baru saya kasih bintang 5 untuk keseluruhan udah bagus ok aplikasinya mudah di akses dan metode pambayaran banyak pilihan,,buat yg tida ada rekening bisa pembayaran melalui aplikasi dana",kasih bintang ganti plat kendara apk kasih bintang bagus ok aplikasi mudah akses metode pambayaran pilihanbuat tida rekening bayar aplikasi dana,positif,positif,positif
6921,mantap cepat pelayanan baguus👍😄terima kasih🙋‍♂️,mantap cepat layan baguusterima kasih,positif,positif,positif
6922,the best,the best,positif,positif,positif
6923,"TOP pelayanan nya, proses gampang banget dan cepat (Samsat kota Bekasi)",top layan ya proses gampang banget cepat samsat kota bekas,positif,positif,positif
6924,enak ya..simple..gk ribet..thanks ya,enak yasimplegk ribetthanks ya,positif,positif,positif
6925,"gak perlu antri lagi kesamsat, sangat memudahkan.",antri kesamsat mudah,positif,positif,positif
6926,simple.... gak bikin ribet 👍👍👍,simple bikin ribet,positif,positif,positif
6927,"SULIT, PERPANJANG SULIT SAMA AJA BIKIN APLIKASI BUAT APA KALO DIPERSULIT",sulit panjang sulit bikin aplikasi sulit,negatif,negatif,negatif
6928,"Bagus sih, TBPKP saya sudah mendarat dg selamat ke tangan saya. Yang jd pertanyaan, bagai mana dg pengesahan STNK nya? Apakah nantinya jd permasalahan? Karena belumm ada tanda pengesahannya dr pihak terkait. Sementara kewajiban pajak saya sdh dilunasi.",bagus sih tbpkp darat selamat tangan kesah stnk ya masalah belumm tanda kesah kait wajib pajak lunas,positif,positif,positif
6929,"terima kasih sangat membatu masyarakat dlm pajak tahunan kendaraan bermotor tidak buang waktu,tenaga dll,semoga di tingatkan terus pelayanannya",terima kasih batu masyarakat pajak tahun kendara motor buang waktutenaga dllsemoga tingatkan layan,positif,positif,positif
6930,wilayah jambi kapan bisa di pakai bayarnya? sampai skrg blm bsa d pakai,wilayah jambi pakai bayar pakai,negatif,negatif,negatif
6931,"mantapp ga capek lg hrs tunggu disamsat, harga jd ekonomis",mantap capek tunggu disamsat harga ekonomis,positif,positif,positif
6932,aplikasinya sih oke...,aplikasi sih oke,positif,positif,positif
6933,"aplikasi ini mempermudah pengurusan pajak kendaraan, bisa kapan saja, tapi cetak nota pajak agak lama, mohon untuk di perbaiki, biar pengguna makin banyak, terimakasih.",aplikasi mudah urus pajak kendara cetak nota pajak mohon baik biar guna terimakasih,positif,positif,positif
6934,"udah nyoba beberapa hari selalu stuck di pembayaran yang gagal terus, udah bola balik ke mbanking dan nyoba pake Shopee, tetep aja gagal terus di pembayaran kocak banget ini aplikasi sampahhhhhhhh",coba stuck bayar gagal bola mbanking coba pakai shopee gagal bayar kocak banget aplikasi sampahhhhhhhh,negatif,negatif,negatif
6935,Lumayan membantu walaupun lama,lumayan bantu,positif,positif,positif
6936,"mantap semudah ini bayar pajak motor,,",mantap mudah bayar pajak motor,positif,positif,positif
6937,mantap bayar pajak tanpa ribet 👍,mantap bayar pajak ribet,positif,positif,positif
6938,Semoga dengan adanya pembayaran seperti ini akan memudahkan para pembayar dan memberikan layanan terbaik!!,moga bayar mudah bayar layan baik,positif,positif,positif
6939,STNK gak sampe2udah beberapa minggu,stnk sampeudah minggu,negatif,negatif,negatif
6940,jos sy dah dua kali pajak lewat signal cpt,jos kali pajak signal cepat,positif,positif,positif
6941,tolong kronologi pembayaran diurai secara DETAIL..jangan hilang riwayatnya,tolong kronologi bayar urai detailjangan hilang riwayat,positif,positif,positif
6942,sangat membantu sekali ketika sedang diluar kota.,bantu luar kota,positif,positif,positif
6943,"data kendaraan saya tidak muncul saat mau pengesahan, katanya suruh mendaftarkan dulu dengan menambahkan kendaraan, setelah mencoba menambahkan muncul notif kendaraan sudah di daftarkan, gimana sih pusing",data kendara muncul kesah suruh daftar kendara coba muncul notif kendara daftar sih pusing,negatif,negatif,negatif
6944,saya sudah bayar pajak motor saya cek di signal STNk saya kenapa tidak aktif. saya bayar pajak motor lewat aplikasi signal,bayar pajak motor cek signal stnk aktif bayar pajak motor aplikasi signal,positif,positif,positif
6945,tanpa KTP pemilik bisa gak mengurus secara online,ktp milik urus online,positif,positif,positif
6946,mempermudah pajak buat kita yang jauh dari kampung halaman.,mudah pajak kampung halaman,positif,positif,positif
6947,"Tahun lalu pajak + ongkir aja = 242+20 = 262 saya kasih bintang lima,, Tahun ini MALAKNYA BANYAK BENER 10K DAN 10K BUAT BIAYA APLIKASI bukan pelit tapi ini kan orang mau bayar pajak,, ngasih duit buat negara untuk gaji kalian,, dipermudah dong malah di palak 20rebu buat biaya aplikasi.. kita tuh sadar mau taat aturan kok dipersulit 😂😂😂😂",pajak ongkir kasih bintang malak biaya aplikasi pelit orang bayar pajak asih duit negara gaji mudah palak rebu biaya aplikasi tuh sadar taat atur sulit,negatif,negatif,negatif
6948,"sangat membantu, tidak perlu datang tinggal on line, dan dikirim ke rumah.",bantu tinggal on line kirim rumah,positif,positif,positif
6949,Alhamdulillah selesai dan pengiriman cepat',alhamdulillah selesai kirim cepat,positif,positif,positif
6950,"masih baru nyoba bayar online...g buang waktu sih,,g perlu antri di kantor samsat..",coba bayar onlineg buang sihg antri kantor samsat,positif,positif,positif
6951,Mudah dan efesien sangat membantu. terimakasih,mudah efesien bantu terimakasih,positif,positif,positif
6952,Bayar pajak online ternyata lebih mudah dan gak perlu repot ke samsat cukup dari rumah sudah beres,bayar pajak online mudah repot samsat rumah beres,positif,positif,positif
6953,sangat membantu dalam pengurusan pajak kendaraan bermotor. bukti pembayaran pajak bisa langsung dikirim ke alamat rumah/kos meskipun butuh waktu semingguan.,bantu urus pajak kendara motor bukti bayar pajak langsung kirim alamat rumahkos butuh minggu,positif,positif,positif
6954,Sangat membantu bagi yg berada diluar daerah,bantu luar daerah,positif,positif,positif
6955,bagus akurat sekali 😁😁,bagus akurat,positif,positif,positif
6956,pembayaran pajak motor tahunan lebih mudah,bayar pajak motor tahun mudah,positif,positif,positif
6957,pelayanan praktis dan memuaskan,layan praktis muas,positif,positif,positif
6958,"Proses mudah dan cepat, mantap 👍",proses mudah cepat mantap,positif,positif,positif
6959,sangat membantu tnpa perlu keluar rumah. . .👍👍,bantu rumah,positif,positif,positif
6960,Paket saya belum sampai min dr kemarin,paket min kemarin,positif,positif,positif
6961,"Lumayan cepat proses cetaknya, tapi lama dipengiriman. Total 6 hari baru sampai ke rumah.",lumayan cepat proses cetak kirim total rumah,positif,positif,positif
6962,lebih muda dan terpercaya Samsat ok🙏,muda percaya samsat ok,positif,positif,positif
6963,fast respon 🤩🤩🤩🤩🤩🤩👍👍👍👍👍👍👍👍👍👍👍👍,fast respon,positif,positif,positif
6964,sangat membatu banget,batu banget,positif,positif,positif
6965,layanan Signal Luar biasa sempurna sukses dan maju terus,layan signal sempurna sukses maju,positif,positif,positif
6966,kereeennn... sekarang bayar pajak cukup lewat hp.. tapi kami harap semoga bisa lanjut ke ganti flat juga bisa pakek aplikasi signal ini.. aamiin,kereeennn bayar pajak hp harap moga ganti flat pakai aplikasi signal amin,positif,positif,positif
6967,"sangat membantu,, proses cepat",bantu proses cepat,positif,positif,positif
6968,"sempat gagal saat pilih pembayaran awal mau pakai virtual account bank, dan yg kedua pakai Shopee berhasil semoga semakin ditingkatkan kedepannya",gagal pilih bayar pakai virtual account bank pakai shopee hasil moga tingkat depan,positif,positif,positif
6969,mantap pelayanan nya cepat,mantap layan ya cepat,positif,positif,positif
6970,"Aplikasi yang bagus, mempermudah dalam membayar pajak. Tingkatkan terus layanan aplikasinya.",aplikasi bagus mudah bayar pajak tingkat layan aplikasi,positif,positif,positif
6971,"saya mau bayar pajak stnk motor kok gagal terus ya, mohon bantuannya 🙏, * klw nanti aplikasinya sudah bisa di gunakan saya kasih bintang 5",bayar pajak stnk motor gagal ya mohon bantu aplikasi kasih bintang,positif,positif,positif
6972,"Kecewa parah aku bayar pajak aplikasi signal, satu bulansaya menubggu di kirim vua pos indonesia, eh ternyata pos indonesia ngomong tidak ada no resinya, di minta konfirmasi samsat eh katanyakantor posnya bagaimana koq tidak dikirimkan, dua lembaga negara yang sudahmengambil hak bayarnya tspi tinggsl kewajibannya pada ogah ogagan",kecewa parah bayar pajak aplikasi signal bulansaya menubggu kirim vua pos indonesia eh pos indonesia omong no resi konfirmasi samsat eh katanyakantor pos kirim lembaga negara sudahmengambil hak bayar tspi tinggsl wajib ogah ogagan,negatif,negatif,negatif
6973,"sangat membantu, mudah dan cepat",bantu mudah cepat,positif,positif,positif
6974,susah sekali untuk mengenali wajah untuk mendaftarnyaa,susah nali wajah mendaftarnyaa,negatif,negatif,negatif
6975,"Aplikasinya sangat bagus, mudah digunakan, penjelasan cara bayar juga gampang dicerna. Saya coba sampai ke tahap pembayaran melalui Indomaret, berjalan sukses. Pengambilan/ penukaran stnk baru juga sangat mudah dan cepat, saya sudah jajal di Samsat Pembantu Prambanan. Pelayanan juga ramah banget. TOP 👍👍👍 Agent customer support juga responsif dan membantu",aplikasi bagus mudah jelas bayar gampang cerna coba tahap bayar indomaret jalan sukses ambil tukar stnk mudah cepat jajal samsat bantu prambanan layan ramah banget top agent customer support responsif bantu,positif,positif,positif
6976,online chat tdk menjawab pertanyaan yg dikeluhkan.,online chat keluh,negatif,negatif,negatif
6977,"sangat bermanfaat terutama untuk anak perantau, tinggal transaksi di hp dan dokumenya dikirim langsung ke alamat kita . thxyouuuu",manfaat anak rantau tinggal transaksi hp dokumenya kirim langsung alamat thxyouuuu,positif,positif,positif
6978,terimakasih aplikasi signal sangat membatu untuk mempermudah pembayaran pajak tahunan,terimakasih aplikasi signal batu mudah bayar pajak tahun,positif,positif,positif
6979,ga ada kata² lain selain bilang good.... perpanjang stnk jd lebih mudah tanpa harus buang2 waktu,bilang good panjang stnk mudah buang,positif,positif,positif
6980,"aplikasi yang sangat bagus, memudahkan urusan administrasi pajak kendaraan bermotor",aplikasi bagus mudah urus administrasi pajak kendara motor,positif,positif,positif
6981,"masalah administrasinya lancar, eh pas nunggu pengiriman ngak di kirim² (padahal udah pilih ekspedisi cepat, tapi masih tertahan juga, ini niat kerja ngak sih) atau sebenarnya nyuruh bayar aja ke samsat?!, kalau yak gitu percuma dong ada aplikasinya, pemerintah ngak pernah gagal dalam menghancurkan kepercayaan rakyatnya. MAU TAAT TAPI DI PERSULIT yg barikan ratting bagus kayaknya buzzer deh ❗❗❗",administrasi lancar eh pas tunggu kirim kirim pilih ekspedisi cepat tahan niat kerja sih nyuruh bayar samsat ya aplikasi perintah gagal hancur percaya rakyat taat sulit bari ratting bagus kayak buzzer deh,negatif,negatif,negatif
6982,ini knpa ga bisa2 pmbyaran woy,pmbyaran woy,negatif,negatif,negatif
6983,Proses nya mudah dan pelayanan nya memuaskan . Tiap tahun selalu gunakan aplikasi,proses ya mudah layan ya muas aplikasi,positif,positif,positif
6984,sangat simple dan proses cepat trima kasih,simple proses cepat terima kasih,positif,positif,positif
6985,sangat membantu dan gercep,bantu gercep,positif,positif,positif
6986,Aplikasi cukup bagus dan perlu ditingkatkan pada layanan update pengirimannya,aplikasi bagus tingkat layan update kirim,positif,positif,positif
6987,Mantul 👍,mantul,positif,positif,positif
6988,Pelayanan cepat dan akurat. Mantap,layan cepat akurat mantap,positif,positif,positif
6989,"jadi lebih mudah,total yg harus di bayar sama yg saya bayar kok beda ya? GK ada keterangannya juga klo misalnya ada Admin nya",mudahtotal bayar bayar beda ya terang admin ya,positif,positif,positif
6990,dari bulan juni sampe sekarang stnk blm dikirim,juni stnk kirim,negatif,positif,negatif
6991,mempermudah alhamdulillah,mudah alhamdulillah,positif,positif,positif
6992,memper mudah Pembayaran pajak bagi orang2 yang Sibuk ...bagus banget sii...,memper mudah bayar pajak orang sibuk bagus banget sih,positif,positif,positif
6993,"sangat membantu, terimakasih signal",bantu terimakasih signal,positif,positif,positif
6994,keren pokoknya aplikasi ini sangat bantu banget mudah lagi cara nya,keren pokok aplikasi bantu banget mudah ya,positif,positif,positif
6995,tingkatkan,tingkat,positif,positif,positif
6996,mantap pelayanannya,mantap layan,positif,positif,positif
6997,Untuk kesekian kali perpanjangan STNK Online & kirim kerumah.,sekian kali panjang stnk online kirim rumah,positif,positif,positif
6998,mempermudah masyarakat untuk pembayaran pajak kendaraan,mudah masyarakat bayar pajak kendara,positif,positif,positif
6999,Bagus meringankan untuk yg rumah jauh dari samsat,bagus ringan rumah samsat,positif,positif,positif
7000,"Mantap, mempermudah pembayaran pajak kendaraan khusus nya bagi yang ada di luar kota, tidak harus pulkam dulu untuk bayar pajak",mantap mudah bayar pajak kendara khusus ya kota pulkam bayar pajak,positif,positif,positif
7001,sangat membantu sekali untuk orang yang super sibuk...👍👍👍,bantu orang super sibuk,positif,positif,positif
7002,"proses pengiriman dokumen terlalu lama 2 Minggu,,",proses kirim dokumen minggu,positif,positif,positif
7003,kan sudah pernah kasih bintang 5,kasih bintang,positif,positif,positif
7004,Tolong dong kalo bayar pajak online di kasih lagi kantong buat stnk nya,tolong bayar pajak online kasih kantong stnk ya,positif,positif,positif
7005,"perdana urus perpanjangan ajak online, awalnya sempat khawatir gak goal tapi ternyata sangat membantu, tinggal duduk diam STNK nyampe rumah, terimakasih signal",perdana urus panjang ajak online khawatir goal bantu tinggal duduk diam stnk rumah terimakasih signal,positif,positif,positif
7006,Joss Ghandoss urusan perpanjang pajak tahunan kendaraan jadi gak ribet. gak mesti antre di Smasat. STNK jg dikirim ke alamat sesuai request pemilik kendaraan,joss ghandoss urus panjang pajak tahun kendara ribet mesti antre smasat stnk kirim alamat sesuai request milik kendara,positif,positif,positif
7007,utk saat ini mudah,mudah,positif,positif,positif
7008,pokoknya the best 👍💯,pokok the best,positif,positif,positif
7009,bayar pajak kendaraan jadi lebih mudah dan efisien cukup dengan aplikasi signal ini bayar pajak bisa dilakukan kapan dan dimanapun prosesnya cepet berkas nya pun bisa di kirim langsung ke rumah,bayar pajak kendara mudah efisien aplikasi signal bayar pajak mana proses cepat berkas ya kirim langsung rumah,positif,positif,positif
7010,terimakasih semakin mudah pelayanan cepat👍,terimakasih mudah layan cepat,positif,positif,positif
7011,"overall applikasi nya ok, mempermudah rakyat bayar pajak, tidak ngantri di tempat, proses nya mudah, tapi pengiriman nya lama, disaya 3 mingguan belum di kirim2 juga, gk tau kendala nya dimana. perbaiki juga untuk bisa menghubungi via WA dll nya mudah, jangan pas di hubungi via chat malah bot yg balas 'sibuk', dan saran untuk pajak 5 tahun kalau bisa bayar di applikasi juga, mempermudah untuk bayar pajak,",overall aplikasi ya ok mudah rakyat bayar pajak antri proses ya mudah kirim ya saya minggu kirim tau kendala ya mana baik hubung via wa dll ya mudah pas hubung via chat bot balas sibuk saran pajak bayar aplikasi mudah bayar pajak,negatif,negatif,negatif
7012,Pelayanannya bagus dan sistematis,layan bagus sistematis,positif,positif,positif
7013,sangat membantu👍,bantu,positif,positif,positif
7014,pelayanan cepat dan aman,layan cepat aman,positif,positif,positif
7015,Canggih aplikasi Signal,canggih aplikasi signal,positif,positif,positif
7016,byar pajak jadi mudah,byar pajak mudah,positif,positif,positif
7017,"pelayanan nya cepat gak perlu antri² lagi ke samsat, udah bisa bayar pajak secara online 👍",layan ya cepat antri samsat bayar pajak online,positif,positif,positif
7018,"sangat membantu, mempermudah mempersingkat waktu, dan yang paling penting bebas dari biaya macam2",bantu mudah singkat bebas biaya,positif,positif,positif
7019,mantap jabar....mudah dan praktis....,mantap jabarmudah praktis,positif,positif,positif
7020,proses gampang kg ribet....dokumen cepat sampai dengan selamat...,proses gampang kg ribetdokumen cepat selamat,positif,positif,positif
7021,kereeeeen,keren,positif,positif,positif
7022,sangat membantu yang sibuk kerja,bantu sibuk kerja,positif,positif,positif
7023,Aplikasi yang sangat mudah digunakan dan sangat bermanfaat.,aplikasi mudah manfaat,positif,positif,positif
7024,bikin apk bayar pajak bukannya mempermudah malah tambah nyusahin banyak kendala,bikin apk bayar pajak mudah susah kendala,negatif,negatif,negatif
7025,"Lebih mempermudah kita bisa menunggu tanpa mengantri, karena diantar ke alamat.",mudah tunggu antri antar alamat,positif,positif,positif
7026,"udah coba bayar pajak lewat signal dari jumat malam sampai sabtu sore masih belum bisa bayar, padahal udah coba bayar lewat bni mobile, shoope, mandiri masih ga bisa. tolong admin perbaikan/solusinya",coba bayar pajak signal jumat malam sabtu sore bayar coba bayar bni mobile shoope mandiri tolong admin perbaikansolusinya,negatif,positif,negatif
7027,perpanjang STNK jadi lebih mudah tanpa harus datang dan antri di Samsat..blanko pajak langsung di kirim kan alamat rumah dengan cepat,panjang stnk mudah antri samsatblanko pajak langsung kirim alamat rumah cepat,positif,positif,positif
7028,"Sangat membantu, praktis",bantu praktis,positif,positif,positif
7029,cepat tepat dan memudahkan customer yg tdak ada waktu,cepat mudah customer,positif,positif,positif
7030,"sangat membantu. tapi pengiriman dari samsatnya cukup lama, mohon kedepan pengiriman bisa disegerakan setelah pembayaran selesai",bantu kirim samsatnya mohon depan kirim segera bayar selesai,positif,positif,positif
7031,Presisi : Sudah yang kesekian kali menggunakan aplikasi ini dan sangat membantu.,presisi sekian kali aplikasi bantu,positif,positif,positif
7032,"cukup membantu dalam membayar pajak tanpa perlu antri di Samsat , proses juga ngga ribet",bantu bayar pajak antri samsat proses ribet,positif,positif,positif
7033,stnk ditunggu ya pak.. makasih,stnk tunggu ya,positif,positif,positif
7034,bagus semua,bagus,positif,positif,positif
7035,"Mantap pelayanan super cepat, bayar pajak tanpa harus antri cukup duduk manis dirumah 2 hari beres dianterin sampai rumah oleh kurir",mantap layan super cepat bayar pajak antri duduk manis rumah beres antar rumah kurir,positif,positif,positif
7036,"tidak ribet, tinggal tunggu telpon dari kurir, top",ribet tinggal tunggu telpon kurir top,positif,positif,positif
7037,trimakasih sudah amanah buat kurirnya dan trimakasih juga buat aplikasi signalnya,trimakasih amanah kurir trimakasih aplikasi signalnya,positif,positif,positif
7038,"aplikasi cukup baik dan instant, utk mempermudah urusan bayar pajak kendaraan bagi masyarakat yg taat pajak",aplikasi instant mudah urus bayar pajak kendara masyarakat taat pajak,positif,positif,positif
7039,sangat membantu dengan pelayanan online ini,bantu layan online,positif,positif,positif
7040,Oke Rekomendasi Mempermudah yang jarak jauh,oke rekomendasi mudah jarak,positif,positif,positif
7041,pengriman paket cepet sampai,rim paket cepat,positif,positif,positif
7042,"Sudah sangat membantu untuk saya yang sedang bekerja diluar kota tetapi pajak harus diperpanjang, tinggal dievaluasi untuk proses cetak dan pengiriman berkas melalui POS nya mungkin bisa dipercepat prosesnya. Terimakasih",bantu luar kota pajak panjang tinggal evaluasi proses cetak kirim berkas pos ya cepat proses terimakasih,positif,positif,positif
7043,"mantap, tidak perlu repot antri di samsat.",mantap repot antri samsat,positif,positif,positif
7044,sangat mempermudah melakukan pembayaran pajak tahunan bagi pemilik kendaraan yang punya waktu terbatas.karena bisa dilakukan kapanpun dimanapun tanpa harus datang langsung ke loket samsat.,mudah bayar pajak tahun milik kendara terbataskarena mana langsung loket samsat,positif,positif,positif
7045,aplikasi ny masih banyak perlu di perbaiki untuk pelayanan customer servis via email ok cepar tanggap karna kangsung memberikan jawaban tolong di perbaiki lagi karna sangat membantu terkhusus warga yang jauh dari kantor samsat.,aplikasi nya baik layan customer servis via email ok cepar tanggap kangsung tolong baik bantu khusus warga kantor samsat,positif,positif,positif
7046,sangat bagus ada aplikasi ini sangat membantu,bagus aplikasi bantu,positif,positif,positif
7047,sangat membantu bagi para perantau,bantu rantau,positif,positif,positif
7048,"Jadi lebih mudah untuk pembayaran pajak kendaraan dengan cara online, setelah selesai penginputan data dan pembayaran tinggal tunggu dirumah dan 1 hari kemudian sudah diantar sama abang kurir dari POS indonesia, jadi tidak perlu antri lagi. semoga sukses selalu untuk semuanya.",mudah bayar pajak kendara online selesai penginputan data bayar tinggal tunggu rumah antar abang kurir pos indonesia antri moga sukses,positif,positif,positif
7049,Terimakasih cepat tanggap dan tidak ribet,terimakasih cepat tanggap ribet,positif,positif,positif
7050,sudah seharusnya para pembayar pajak dipermudah dan di fasilitasi sebaik mungkin..kedepan di tambah lagi fasilitas di app.,bayar pajak mudah fasilitas mungkinkedepan fasilitas app,positif,positif,positif
7051,STNK sudah diterima cepat dan aman dari calo .. apalagi klo bisa sekalian ganti plat no nya jadi biar memudahkan masyarakat dari antri dan juga calo,stnk terima cepat aman calo ganti plat no ya biar mudah masyarakat antri calo,positif,positif,positif
7052,Aplikasi nya sangat membantu,aplikasi ya bantu,positif,positif,positif
7053,akhirnya aplikasi ny bisa di pake lagi... wlwpun tahun kmren hrs repot ngeluarin biaya lebih krna hrs titip org byr pajak.. kalo pake aplikasi kan enak ga ribet lebih cpet byr pajak nya.!,aplikasi nya pakai kemarin repot keluar biaya titip orang byr pajak pakai aplikasi enak ribet cepat byr pajak ya,positif,positif,positif
7054,simple dan tidak ngantri,simple antri,positif,positif,positif
7055,respon cepat dan mudah digunakan semoga kedepannya lebih bermanfaat kepada masyarakat. 🙏🏻🙏🏻,respon cepat mudah moga depan manfaat masyarakat,positif,positif,positif
7056,penyelesaian dokumen sangat lama memakan waktu sampai seminggu lebih dan informasi status pelacakan dokumen sangat tidak informatif,selesai dokumen makan minggu informasi status lacak dokumen informatif,negatif,negatif,negatif
7057,"top dah, simple dan cepat",top simple cepat,positif,positif,positif
7058,"daftarnya susah, gagal di verifikasi mulu",daftar susah gagal verifikasi mulu,negatif,negatif,negatif
7059,"aman, terpercaya,dan cepat",aman terpercayadan cepat,positif,positif,positif
7060,daftar nya ga bisa susah kali. foto wajah aja ga bisa bisa aplikasi ga guna,daftar ya susah kali foto wajah aplikasi,negatif,negatif,negatif
7061,"Aplikasi busuk, mau cek status pembayaran aja nggak bisa terus",aplikasi busuk cek status bayar,negatif,negatif,negatif
7062,sangat membantu.... luar biasa,bantu,positif,positif,positif
7063,pengiriman pkb terlalu lama sampai 12 hari,kirim pkb,positif,positif,positif
7064,"mantap, singkat cepat tepat. memuaskan pelayanan dari samsat sampai pengiriman (top pos indonesia)",mantap singkat cepat muas layan samsat kirim top pos indonesia,positif,positif,positif
7065,"semua menjadi lebih mudah, terimakasih",mudah terimakasih,positif,positif,positif
7066,Don,don,positif,positif,positif
7067,cukup mudah dan membantu buat yang merantau,mudah bantu rantau,positif,positif,positif
7068,aman dan amanah,aman amanah,positif,positif,positif
7069,Alhamdulillaah.. Praktis dan efisien.,alhamdulillaah praktis efisien,positif,positif,positif
7070,"Terima kasih, capat aman tanpa Ribet",terima kasih capat aman ribet,positif,positif,positif
7071,baru coba 1 x ini klu mg enak lanjut tahun depan,coba kali moga enak,positif,positif,positif
7072,"sangat memudahkan,gk perlu antri dan datang langsung ke samsat",memudahkangk antri langsung samsat,positif,positif,positif
7073,cukup membantu dan mempermudah dlm pembayaran pajak kenderaan,bantu mudah bayar pajak kenderaan,positif,positif,positif
7074,sangat bagus dan STNK sampai alamat,bagus stnk alamat,positif,positif,positif
7075,ongkirnya lain kali jangan terlalu gede lah 🤦🏻‍♂️,ongkirnya kali gede,positif,positif,positif
7076,"Sangat membantu untuk orang yg sibuk kerja, lebih mudah, dan cepat",bantu orang sibuk kerja mudah cepat,positif,positif,positif
7077,"sangat membantu,praktis,kalau bisa yang pajak 5 tahunan jg bisa online",membantupraktiskalau pajak tahun online,positif,positif,positif
7078,"paket lama baru dikirim, admin di pengaduan tidak responsif.. setelah melakukan pengaduan lewat email baru ada tanggapan... melakukan pembayaran pada tanggal 31 agustus, barang baru dikirim tanggal 17 september",paket kirim admin adu responsif adu email tanggap bayar tanggal agustus barang kirim tanggal september,negatif,negatif,negatif
7079,"simpel cepat tidak ribet, lanjut kan seperti ini",simpel cepat ribet,positif,positif,positif
7080,"Masyaallah, apk yg sangat berguna banget sih buat bayar pajak tahunan, ngga perlu jauh² ke samsat, ngga banyak buang waktu, sat set dikirim kerumah 2-3hri udh sampe, terimakasih banyak🙏☺",masyaallah apk guna banget sih bayar pajak tahun samsat buang sat set kirim rumah terimakasih,positif,positif,positif
7081,Luar biasa. malam jumat bayar hari jumat sore dah dikirim.. sangat cepat kinerja,malam jumat bayar jumat sore kirim cepat kerja,positif,positif,positif
7082,"Terima kasih, stnk sudah jadi. Namun, pelayanan",terima kasih stnk layan,positif,positif,positif
7083,mudah tak buang buang waktu,mudah buang buang,positif,positif,positif
7084,jadi lebih mudah mksh signal,mudah signal,positif,positif,positif
7085,"sangat membantu orang yg tidak punya waktu banyak, tp sayang proses nya lama",bantu orang sayang proses ya,positif,positif,positif
7086,mantap tanpa ribet no calo,mantap ribet no calo,positif,positif,positif
7087,"sangat membantu dan mudah sekali, stnk benar mendarat sampai ke tangan",bantu mudah stnk darat tangan,positif,positif,positif
7088,aplikasi ter👍,aplikasi ter,positif,positif,positif
7089,"Sangat berguna jd lebih efektif, ga banyak waktu terbuang",guna efektif buang,positif,positif,positif
7090,alhamdulillah dokumen sudah sampai.. dengan adanya sistem online jadi lebih mudah untuk membayar pajak,alhamdulillah dokumen sistem online mudah bayar pajak,positif,positif,positif
7091,"mudah, hanya pengirimannya yg lumayan lama",mudah kirim lumayan,positif,positif,positif
7092,Alhamdulillah akhirnya 7 hari kerja sampai juga STNK....mohon lebih di tingkatkan dalam pengirimannya,alhamdulillah kerja stnkmohon tingkat kirim,positif,positif,positif
7093,Lumayan simple dan cepat,lumayan simple cepat,positif,positif,positif
7094,alhamdulillah cepat dan mudah,alhamdulillah cepat mudah,positif,positif,positif
7095,"urus pajak tanpa ribet,urus pajak di rumah saja tinggal nunggu di anter.sangat membantu",urus pajak ribeturus pajak rumah tinggal tunggu antersangat bantu,positif,positif,positif
7096,"Sangat membantu karena kita tidak perlu datang lagi ke Samsat . Bisa terus kerja, biasanya antri antri dan macet macet di jalanan skrg bisa terus kerja tanpa izin izin urus pajak . skalian PKB nya di turunkan 😁",bantu samsat kerja antri antri macet macet jalan kerja izin izin urus pajak skalian pkb ya turun,positif,positif,positif
7097,alhamdulillah sangat membantu aplikasi signal ini mungkin kedepannya untuk pengirimannya lebih di percepat lagi,alhamdulillah bantu aplikasi signal depan kirim cepat,positif,positif,positif
